title,type,year,rating,imdb_score,rotten_score,decade,imdb_bucket,genres_Action_Adventure,genres_Animation,genres_Biography,genres_Children,genres_Comedy,genres_Crime,genres_Cult,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Food,genres_Game Show,genres_History,genres_Horror,genres_Independent,genres_LGBTQ,genres_Musical,genres_Mystery,genres_Reality,genres_Romance,genres_Science_Fiction,genres_Sport,genres_Stand_up_Talk,genres_Thriller,genres_Travel,platforms_acorntv,platforms_amazon_prime,platforms_cinemax,platforms_epix,platforms_fandor,platforms_free,platforms_fubo_tv,platforms_hbo,platforms_hbo_max,platforms_hoopla,platforms_hulu_plus,platforms_kanopy,platforms_netflix,platforms_shoutfactorytv,platforms_sundancenow,platforms_syfy_tveverywhere,platforms_tlc_go,platforms_viceland_tve,genre,platform
Game of Thrones,TV,2011,R/TV-MA,9.3,89.0,2010-2019,9.01-9.50,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Fantasy', 'genres_Romance', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Fight Club,,1999,R/TV-MA,8.8,79.0,1990-1999,8.51-9.00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Cult', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Alien,,1979,R/TV-MA,8.4,94.0,1970-1979,8.01-8.50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Cult', 'genres_Horror', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Chernobyl,TV,2019,R/TV-MA,9.4,96.0,2010-2019,9.01-9.50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_History', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Die Hard,,1988,R/TV-MA,8.2,93.0,1980-1989,8.01-8.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Joker,,2019,R/TV-MA,8.5,68.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Aliens,,1986,R/TV-MA,8.3,97.0,1980-1989,8.01-8.50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Fantasy', 'genres_Horror', 'genres_Mystery', 'genres_Science_Fiction', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Apocalypse Now,,1979,R/TV-MA,8.4,98.0,1970-1979,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Horror', 'genres_Mystery']","['platforms_hbo', 'platforms_hbo_max']"
The Wire,TV,2002,R/TV-MA,9.3,94.0,2000-2009,9.01-9.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Ford v Ferrari,,2019,PG-13/TV-14,8.1,92.0,2010-2019,8.01-8.50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Biography', 'genres_Drama', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
